date,gas_usage_kwh,elec_usage_kwh,degree_days_15.5,solar_yield_kwh
15/04/23,24.77,1.91,6.5,20.70
16/04/23,28.27,4.77,6.1,6.90
17/04/23,15.8,5.72,3.7,5.30
18/04/23,18.28,3.28,5.4,22.20
19/04/23,25.22,4.06,5.7,13.40
20/04/23,21.96,2.45,5.9,25.50
21/04/23,28.56,1.51,5.8,5.40
22/04/23,18.09,1.35,5.7,16.90
23/04/23,27.27,1.3,6.1,5.40
24/04/23,29.34,1.35,7.8,14.10
25/04/23,27.77,1.29,8.6,20.80
26/04/23,36.65,1.26,6.9,18.10
27/04/23,26.56,1.94,6.6,5.80
28/04/23,29.57,1.37,4.8,7.20
29/04/23,20.95,1.24,2.4,11.00
30/04/23,13.71,2,3.3,6.60
01/05/23,30.43,4.63,3.6,9.10
02/05/23,2.09,3.15,3.2,16.90
03/05/23,7,2.77,3.7,22.80
04/05/23,6.81,3.86,4.2,21.30
05/05/23,7.3,2.21,1.8,14.20
06/05/23,8.11,4.21,2.2,10.40
07/05/23,9.17,2.73,1.5,16.60
08/05/23,5.87,4.06,2.1,8.90
09/05/23,12.33,3.48,2.2,18.30
10/05/23,10.29,5.53,4,9.50
11/05/23,9.84,4.03,2.7,11.80
12/05/23,8.3,1.99,3,18.90
13/05/23,0,0.71,3.9,27.30
14/05/23,0.34,2.62,3.4,17.60
15/05/23,10.5,2.18,4.3,23.40
16/05/23,6.55,2.82,3.5,15.00
17/05/23,6.82,3.56,2.2,20.70
18/05/23,6.25,2.58,1.9,16.70
19/05/23,7.62,3.1,2.1,12.90
20/05/23,9.45,2.67,2.4,26.90
21/05/23,3.19,1.08,2,26.30
22/05/23,0.79,1.72,1.8,24.60
23/05/23,0.44,1.65,1.8,17.50
24/05/23,7.3,3.05,1.8,25.50
25/05/23,4.43,1.87,1.5,22.50
26/05/23,4.57,2.47,2,24.00
27/05/23,6.88,1.21,1.5,27.10
28/05/23,3.47,1.4,1.4,18.70
29/05/23,5.62,2.21,2.8,26.60
30/05/23,7.11,2.08,2.8,24.10
31/05/23,4.52,2.4,2.6,13.80
01/06/23,4.88,2.25,2.8,24.20
02/06/23,1.33,2.05,2.3,26.90
03/06/23,5.8,2.25,2.5,27.40
04/06/23,5.48,1.62,2.2,27.40
05/06/23,2.22,1.87,2,24.40
06/06/23,7.55,2.79,3,10.70
07/06/23,0.79,1.5,2.6,16.70
08/06/23,4.5,2.71,2.9,27.40
09/06/23,6.75,2.03,2.1,26.40
10/06/23,4.77,3.69,1.4,24.90
11/06/23,3.39,1.87,0,20.90
12/06/23,3.68,3.11,0,20.40
13/06/23,4.4,2.24,0,26.10
14/06/23,11.79,2.82,0.5,27.90
15/06/23,3.01,2.17,0.6,25.00
16/06/23,3.98,2.05,0.2,26.50
17/06/23,4.43,3.21,0,11.00
18/06/23,9.46,4.04,0.2,15.30
19/06/23,8.31,4.54,0.1,20.30
20/06/23,11.66,4.08,0.1,7.90
21/06/23,9.13,2.27,0.1,20.40
22/06/23,2.96,2.76,0.1,22.40
23/06/23,2.27,2.79,0.1,13.20
24/06/23,3.66,2.83,0,16.90
25/06/23,4.8,3.85,0.1,15.10
26/06/23,8.39,2.8,0.7,20.80
27/06/23,5.29,3.06,0.5,4.40
28/06/23,2.01,3.25,0.2,5.70
29/06/23,9.85,2.91,0.5,22.90
30/06/23,3.96,3.18,1.1,6.90
